,city,lat,temp,humidity,cloudiness,wind
394,Santiago,-33.44,66.63,48,0,14.99
395,Anloga,5.79,80.6,88,20,9.17
396,Mount Pleasant,33.16,64.38,55,40,4.7
397,Punta Arenas,-53.16,48.2,49,0,9.17
398,Arraial do Cabo,-22.97,75.2,88,75,12.75
399,Bambous Virieux,-20.34,75.2,83,40,12.75
400,Mar del Plata,-46.43,39.16,99,0,6.76
401,Norsup,-16.07,82.14,86,80,5.53
402,Ribeira Grande,38.52,67.92,100,8,9.89
403,Samarai,-10.62,77.19,100,92,5.64
404,Linares,-35.85,48.03,94,44,2.73
405,Basco,40.33,56.48,47,1,4.7
406,Komsomolskiy,67.55,23.82,95,76,7.87
407,Novoagansk,61.94,31.15,96,92,2.73
408,Mar del Plata,-46.43,39.16,99,0,6.76
409,Pisco,-13.71,68.0,72,0,14.99
410,San Carlos de Bariloche,-41.13,42.8,87,90,11.41
411,New Norfolk,-42.78,62.6,63,75,10.29
412,Huarmey,-10.07,63.96,71,44,3.29
413,Senneterre,48.39,26.6,100,90,9.17
414,Vila Franca do Campo,37.72,60.8,77,20,3.36
415,Kattivakkam,13.22,78.8,94,20,5.3
416,Semporna,4.48,75.2,94,75,1.12
417,Tuscaloosa,33.21,71.6,35,1,6.93
418,Bowen,-20.01,77.0,73,40,10.29
419,Rassvet,47.2,48.33,87,36,2.24
420,Karasuk,53.73,26.11,87,0,6.98
421,Okhotsk,59.36,23.14,100,44,6.98
422,Zabaykalsk,49.64,26.52,68,0,3.4
423,Gwadar,25.12,71.97,99,12,3.4
424,Venice,27.1,86.02,58,75,6.93
425,Alekseyevsk,57.84,27.64,92,48,1.5
426,Bayan,47.25,16.17,57,0,5.97
427,Puerto Ayora,-0.74,75.2,64,0,20.8
428,Petit Goave,18.43,86.0,62,75,8.05
429,Telimele,10.9,69.04,100,92,3.06
430,Masalli,34.8,53.6,76,20,9.17
431,Sao Filipe,14.9,79.3,98,64,13.8
432,Punta Arenas,-53.16,48.2,49,0,9.17
433,Port Hardy,50.7,51.8,87,75,3.36
